,speaker,utterance
691,A,"I know that, like, the, the, the one plan that everyone seems to be in, in my place is, uh, you know, you, uh, think you call it plan D"
692,A,"another example like I guess it's alzheimer's Deductibles are really high,"
693,A,"it's like fifteen hundred dollars,"
694,A,"but if you go for the other ones you're paying too much money for them because it's unlikely, if you're relatively, uh, healthy, then it's really unlikely that you'd use that much, amount of money, you know."
695,A,"So, it, someone did start a cost benefit analysis,"
696,A,"and ends up the best is to take a high deductible and, and take a loss, whatever happens to be, if you happen to be a healthy individual"
697,B,"Yeah,"
698,B,"I guess,"
699,B,"uh, on the other hand, you know, I, I had a similar, had a similar health plan"
700,B,"and, uh, one of my kids was in a car accident"
701,B,"and, uh I had, wound up having to pay for, you know, a bunch of doctor visits and stuff out of my pocket because of, you know, no, no insurance policy happened to cover it, which is,"
702,A,Um.
703,A,Really?
704,A,"You mean, not even your, your, your car insurance?"
705,B,"Well, it, it got all screwed up because I had a high deductible on the health insurance, no fault here,"
706,B,"and, and I had a high deductible on the on the, uh, on the car insurance"
707,B,"and then you know, we just goofed up the medical insurance and the car insurance and stuff and blew it"
708,A,"Oh, that's too bad."
709,B,"Oh, well."
710,A,Yeah
711,A,"uh, well, I don't know,"
712,A,"I think other than health insurance, I think, uh, you know, an extra week of, uh, time off would be nice."
713,A,I only get two weeks.
714,B,"Yeah,"
715,B,yeah
716,B,my place you get two weeks when you start
717,B,"and then every, every year they give you an extra day until you've got four weeks."
718,A,"Oh, that's nice."
719,A,"We don't get them till, till your seventh year of service till you get an extra week."
720,B,Aye.
721,B,That's a long time.
722,A,"Yeah,"
723,A,"it's, uh,"
724,B,"Yeah,"
725,B,"especially in the kind of engineering job I'm in, you know, companies don't stay afloat that long"
726,B,"and, and they,"
727,A,"Uh, with the telecommunications type of company, supposedly you, used to be much more stable."
728,A,It's a lot less stable than it used to be.
729,A,They used to have job security
730,A,but now they don't.
731,B,So you work for Bell or something like that?
732,A,"Yeah,"
733,A,"it's the Bell Corps, which is, uh,"
734,B,Right.
735,A,Yeah.
736,B,Right.
737,A,"So, I don't know,"
738,A,"it's, it's, uh, no longer"
739,A,"So that's what,"
740,A,"I think it's still based on the old model of,"
741,A,"and, and now they don't, uh,"
742,B,A lifelong job security
743,B,"telephone pioneers of America,"
744,A,Yeah.
745,B,"all that stuff, huh."
746,A,"Yeah,"
747,A,"but they, no, no longer"
748,A,I don't think so.
749,B,Right.
750,A,"Uh, hearing a"
751,A,"there's always, they're always laying people off, which is another benefit that you can have other than salary is trade that off for security."
752,B,"Is it, I mean, does it,"
753,B,"they must have pretty good severance, though, huh?"
754,A,"Oh, I don't know,"
755,A,"we don't, we haven't been doing layoffs."
756,A,"We've been doing, uh, down sizing with, uh, getting rid of extra layers of management."
757,A,"And, uh, I don't know what they do for those people."
758,B,"Mean the, the, the management they get rid of?"
759,A,"Some of it,"
760,A,yeah.
761,B,Um.
762,A,"There's too many manage, too many chiefs and not enough Indians"
763,A,"but,"
764,B,"Oh, they, they put,"
765,A,"Well, have you ever served on a jury?"
766,B,"No,"
767,B,I've not.
768,B,"I've been called,"
769,B,but I had to beg off from the duty.
770,B,And you?
771,A,"Well, I was called"
772,A,and then I was not chosen.
773,B,Um.
774,B,"Well, I was, I was, uh, originally chosen primarily, I think, because I was a young fellow"
775,B,and they tend to view the younger fellows as more likely to hand down a guilty verdict.
776,B,I don't know why.
777,B,Something I picked up in a psychology class some time ago.
778,A,"Oh, really?"
779,B,"Yeah,"
780,B,"it's that the younger they are, they tend to be more conservative for some statistical oddball reason,"
781,B,and they kind of liked me.
782,B,I looked and all that stuff
783,B,"and they,"
784,B,"I don't know what they saw in me,"
785,B,but they saw it.
786,B,"But, uh, back to the issue, is, uh,"
787,B,"I don't know,"
788,B,"at times I feel that a unanimous decision is warranted, especially in cases in which there's no smoking gun."
789,B,"But, there, too, there are also cases in which I feel a majority rule might be acceptable, particularly, I think in civil cases."
790,B,"In criminal cases, I'd like to see the unanimity remain,"
791,B,"but in civil cases, I think a majority rule by, by jury would be sufficient."
792,A,"Well, uh, could you give me an example of a case where you think that?"
793,B,"Well, in a criminal case, say one in which, you know, there is, like, say assault or some such. I think there ought to be a unanimous, uh, vote because by law and by constitution there must be proven beyond a shadow of a reasonable doubt that the person in question did this."
794,B,"And in civil law there, you know, is such a thing as like, let's say, uh, misappropriations or misuse of financial instruments or something like that."
795,B,"A majority rule, I think, would be more in line as there is no real smoking gun in the civil cases."
796,B,I don't know if I'm making any sense or not.
797,A,"Well, I mean, I think,"
798,A,"are you just trying to say that criminal cases are more, uh, tangible"
799,A,"or,"
800,B,"Yeah,"
801,B,often there's more incriminating evidence.
802,B,"Like, for instance, say, uh,"
803,B,"and also, too, I think I'm, I'm tempering this and the fact that the consequences are much more, uh, serious in a criminal case."
804,A,"Well, do you think that, that in a civil case, if there was majority rule, that it would be easy for someone to be set up?"
805,B,"Um, well, I really can't say for certain, truth be known."
806,B,"Uh, as it stands, there's, there's many ways and means by which a person can be set up, both, uh, in a uh, civil and criminal case."
807,B,"I mean, the, uh, documentary, the THIN BLUE LINE pretty much demonstrated that."
808,B,"You know, I don't know for, if you're familiar with that or not."
809,A,"No,"
810,A,I'm not.
811,B,"A, uh, fellow when he was much younger, uh, was tried and convicted and sentenced to death."
812,B,"Fortunately, in his case, the death penalty was revoked"
813,B,"and, uh, so he served out his, his sentence until it was discovered by a fellow who was making a documentary called the THIN BLUE LINE that this guy had basically gotten railroaded through the judicial system."
814,B,The case was reopened
815,B,and he was exonerated.
816,A,"Well, I mean, I think that there are many cases in our judicial system where justice is not served."
817,B,"Yeah,"
818,B,"many laws, but little justice."
819,A,"Say,"
820,A,"but, uh,"
821,A,"and I also think, just like you were talking about before, why you were chosen to be on a jury that, uh, the, just, the process of picking jurors is not always objective."
822,B,"Oh, certainly not,"
823,B,certainly not.
824,B,"And you know, they like to think that they're getting someone who's objective in all this,"
825,B,but they're really looking for someone who will pretty much fulfill the lawyers' desires.
826,B,"You know, the,"
827,B,because you get up
828,B,"and, and they ask you a few questions,"
829,B,"both sides do,"
830,B,"and then you, you're either challenged which is,"
831,B,"you know, each attorney can use that as much as they like"
832,B,"or, I think it's a limit now,"
833,B,"they probably have a limit now,"
834,B,"but, they pretty much go through that,"
835,B,and then you have to give a reason to the court why you can't serve.
836,B,"For me, it was financial hardship,"
837,B,"so. But, onto the thing, uh, I was never aware that juries had any say on recommending sentencing."
838,B,"It was always my impression that the Justice himself, or herself, had the final say."
839,A,"Okay,"
840,A,so I guess it starts recording now.
841,B,Okay.
842,A,Okay.
843,A,"I don't know, really know that much about the recycling in this area that we're in."
844,A,We live in the Saginaw area.
845,B,Saginaw?
846,A,Uh-huh.
847,A,"And I'm not real familiar with, uh, anything that,"
848,A,"I,"
849,A,"fact as far as I know, the school doesn't have any kind of programs or anything out here. And, uh, or the grocery store or anything in this area,"
850,B,Really?
851,A,yeah.
852,B,The
853,B,we live in Plano
854,B,"and they started off recycling by, uh, putting the,"
855,B,"I think at each Wal-Mart, they had some recycling dumpsters and things like that, which now,"
856,B,"I guess the, uh, city is, has bought the big green trash cans"
857,B,"and, uh, we, they have a recycling truck that comes around now"
858,B,"and you separate your glass and paper and, uh, aluminum"
859,A,Uh-huh.
860,B,and you set it out
861,B,and they pick it up
862,B,"and it, it works real neat."
863,B,They seem to be having a real good response.
864,A,Really?
865,B,"So,"
866,A,That is pretty good.
867,A,"I'm, we're originally from another state"
868,A,and I know in the state we were from that they did that similar type thing.
869,A,"The city brought ought, you know, set separate trash cans"
870,A,and you separated your stuff
871,A,and you put it in there
872,A,"and they took it, you know."
873,B,"Did they, did they, like on bottles, did they give you a so many cents back for for cans"
874,A,I don't really know.
875,A,"I don't really know,"
876,A,"they, they started after we moved down here"
877,A,"and so I, I'm not really familiar."
878,B,Yeah.
879,A,"I just know that, uh, my in-laws up in, up in Oklahoma, that's how they do, you know, they pick it up,"
