,section,text
207,METHODS,"The serum creatinine ( SCr ) and creatinine clearance ( CCr ) levels were measured on admission and at 24 , 48 and 72 hours after primary PCI ."
208,METHODS,The rates of CIN and short-term adverse events were analyzed for each group .
209,METHODS,"After surgery , the patients were categorized into four groups according to the Mehran risk score : low ( 5 , n = 98 ) , moderate ( 6-10 , n = 56 ) , high ( 11-15 , n = 40 ) or very high ( 16 , n = 22 ) ."
210,RESULTS,"The incidence of CIN in the RH group was lower than that observed in the control group ( 22/108 ; 20.4 % vs. 38/108 ; 35.2 % , p < 0.05 ) ."
211,RESULTS,"The subgroup analysis showed that the rate of CIN was lower in the moderate ( 6/29 ; 20.7 % vs. 13/30 ; 43.3 % , p < 0.10 ) and significantly lower in both the high ( 5/21 ; 23.8 % vs. 10/18 ; 55.6 % , p < 0.05 ) and very high score groups ( 3/12 ; 25.0 % vs. 8/12 ; 66.7 % , p < 0.05 ) among the RH patients compared to the controls ."
212,RESULTS,"At 24 , 48 and 72 hours after PCI , the patients in the RH group exhibited lower SCr levels and higher CCr levels than the patients in the control group ( both p < 0.05 ) ."
213,RESULTS,A lower incidence of in-hospital clinical events was also observed in the RH group .
214,CONCLUSIONS,Remedial hydration decreases the occurrence of CIN and improves the short-term prognosis of STEMI patients undergoing primary PCI .
215,BACKGROUND,"An increased production of oxidizing species related to reactive oral diseases , such as chronic apical periodontitis , could have systemic implications such as an increase in cardiovascular morbidity ."
216,BACKGROUND,"Based on this consideration , we conducted a prospective study to assess whether subjects affected by chronic periodontitis presented with higher values of oxidative stress than reference values before endodontic treatment , and whether endodontic treatment can reduce the oxidative imbalance and bring it back to normal in these subjects ."
217,METHODS,The authors recruited 2 groups of patients from private studies and dental clinics : these patients were recruited randomly .
218,METHODS,"The oxidative balance in both patients with chronic apical periodontitis ( CAP ) and healthy control patients was determined by measuring the oxidant status , using an identification of the reactive oxygen metabolites ( d-ROMs ) test , while the antioxidant status in these patients was determined using a biological antioxidant potential ( BAP ) test ."
219,METHODS,Both these tests were carried on plasma samples taken from enrolled patients .
220,METHODS,"Values were measured both before the endodontic treatment of the patients with chronic apical periodontitis , and 30 and 90 days after treatment , and compared to those obtained from healthy control patients ."
221,RESULTS,"It was found that , on recruitment , the patients with chronic apical periodontitis exhibited significantly higher levels of oxidative stress than control patients , as determined by the d-ROMs and BAP tests ."
222,RESULTS,"Furthermore , the d-ROMs test values were shown to decrease and the BAP test values to increase over time in patients with chronic apical periodontitis following endodontic therapy ."
223,RESULTS,As the levels of oxidative stress in these patients tended to reduce and return to normal by 90 days following treatment .
224,CONCLUSIONS,This study has demonstrated a positive association between chronic apical periodontitis and oxidative stress .
225,CONCLUSIONS,"Subjects affected by chronic apical periodontitis are exposed to a condition of oxidative stress , which is extremely dangerous to general health ."
226,CONCLUSIONS,"Moreover , one can infer from these findings that through proper endodontic therapy , a good oxidative balance can be restored , thereby avoiding the risk of contracting the abovementioned diseases ."
227,BACKGROUND,Placebo effect has been largely studied and debated in medicine .
228,BACKGROUND,Research focused mainly on children and adults but not on newborns .
229,BACKGROUND,"In osteopathy , few studies documented this effect and no research has been conducted in newborns ."
230,OBJECTIVE,To assess the presence of placebo effect in newborns using sham osteopathic manipulative treatment .
231,METHODS,Randomized control trial .
232,METHODS,Neonatal Intensive Care Unit in Italy .
233,METHODS,Two groups ( 103 patients each ) of preterm infants aged 29-36 weeks without medical complications received routine pediatric care and osteopathic sham therapy was administrated to the study group only for the entire period of hospitalization .
234,METHODS,Primary end point was the mean reduction of length of stay at discharge .
235,METHODS,Secondary objective was the change in daily weight gain .
236,RESULTS,206 newborns entered the study .
237,RESULTS,No difference between sham and control group was found for the primary outcome length of stay ( 30.020.3 ; 28.818.9 ; p = 0.70 ) .
238,RESULTS,Multivariate analysis showed no difference between study and control group on length of stay .
239,RESULTS,"A negative association was found for gestational age ( -2.33 ; 95 % CI -3.81 to -0.85 ; p = 0.002 ) , birth weight ( -0.01 ; 95 % CI -0.02 to -0.01 ; p < 0.001 ) and milk volume at study enrollment ( -0.02 ; 95 % CI -0.05 to -0.01 ; p = 0.01 ) ."
240,CONCLUSIONS,"To the best of our knowledge , this study is the first in the field showing no placebo effect on newborns ."
241,CONCLUSIONS,Further discussions are opened concerning the age when placebo effect starts .
242,BACKGROUND,Clostridium difficile infection ( CDI ) is a leading cause of diarrhoea in health care settings with symptoms ranging from mild and self-limiting to life threatening .
243,BACKGROUND,"SMT19969 is a novel , non-absorbable antibiotic currently under development for the treatment of CDI ."
244,BACKGROUND,Here we report the results from a Phase I study .
245,METHODS,"A double-blind , randomized , placebo-controlled study assessing safety and tolerability of single and multiple oral doses of SMT19969 in healthy volunteers ."
246,METHODS,Pharmacokinetic assessments included blood and faecal sampling .
247,METHODS,The effect of food on systemic exposure and analysis of the gut microbiota were also included .
248,RESULTS,Fifty-six healthy male subjects were enrolled .
249,RESULTS,"Following single oral doses of up to 2,000 mg in the fasted state , plasma concentrations of SMT19969 were generally below the lower limit of quantification ."
250,RESULTS,In the fed state levels ranged from 0.102 to 0.296 ng/mL after single dosing and after repeat dosing at Day 10 from 0.105 to 0.305 ng/mL .
251,RESULTS,"Following single and multiple oral doses of SMT19969 , mean daily faecal concentrations increased with increasing dose level and were significantly above the typical MIC range for C. difficile ( 0.06-0 .5 g/mL ) ."
252,RESULTS,"At 200 mg BID , mean ( SD ) faecal concentrations of 1,466 ( 547 ) g/g and 1,364 ( 446 ) g/g were determined on days 5 and 10 of dosing respectively ."
253,RESULTS,No notable metabolites were detected in faeces .
254,RESULTS,"Overall , all doses of SMT19969 were well tolerated both as single oral doses or BID oral doses for 10 days ."
255,RESULTS,"The majority ( 88 % ) of adverse events ( AEs ) were classified as gastrointestinal disorders and were mild in severity , resolving without treatment ."
256,RESULTS,The gut microbiota was analysed in the multiple dose groups with minimal changes observed in the bacterial groups analysed except for total clostridia which were reduced to below the limit of detection by day 4 of dosing .
257,CONCLUSIONS,Oral administration of SMT19969 was considered safe and well tolerated and was associated with negligible plasma concentrations after single and multiple doses .
258,CONCLUSIONS,"In addition , minimal disruption of normal gut microbiota was noted , confirming the highly selective spectrum of the compound ."
259,CONCLUSIONS,These results support the further clinical development of SMT19969 as an oral therapy for CDI .
260,BACKGROUND,Current Controlled Trials .
261,BACKGROUND,ISRCTN10858225 .
262,BACKGROUND,"While overall survival for most common cancers in Australia is improving , the rural-urban differential has been widening , with significant excess deaths due to lung , colorectal , breast and prostate cancer in regional Australia ."
263,BACKGROUND,Internationally a major focus on understanding variations in cancer outcomes has been later presentation to healthcare and later diagnosis .
264,BACKGROUND,Approaches to reducing time to diagnosis of symptomatic cancer include public symptom awareness campaigns and interventions in primary care to improve early cancer detection .
265,BACKGROUND,This paper reports the protocol of a factorial cluster-randomised trial of community and general practice ( GP ) level interventions to reduce the time to diagnosis of cancer in rural Western Australia ( WA ) .
266,METHODS,The community intervention is a symptom awareness campaign tailored for rural Australians delivered through a community engagement model .
267,METHODS,The GP intervention includes a resource card with symptom risk assessment charts and local referral pathways implemented through multiple academic detailing visits and case studies .
268,METHODS,"Participants are eligible if recently diagnosed with breast , colorectal , lung or prostate cancer who reside in specific regions of rural WA with a planned sample size of 1350 ."
269,METHODS,"The primary outcome is the Total Diagnostic Interval , defined as the duration from first symptom ( or date of cancer screening test ) to cancer diagnosis ."
270,METHODS,"Secondary outcomes include cancer stage , healthcare utilisation , disease-free status , survival at 2 and 5years and cost-effectiveness ."
